iter	Passed	Remaining
0	9	9015
1	17	8650
2	24	8099
3	31	7951
4	39	7800
5	47	7929
6	57	8214
7	65	8093
8	76	8423
9	88	8795
10	100	9071
11	114	9412
12	122	9300
13	129	9133
14	137	9029
15	144	8895
16	152	8801
17	164	8952
18	171	8852
19	179	8783
20	190	8870
21	198	8806
22	205	8718
23	212	8654
24	222	8668
25	247	9254
26	261	9428
27	275	9564
28	289	9702
29	303	9802
30	315	9855
31	330	9997
32	339	9937
33	348	9909
34	355	9810
35	363	9726
36	370	9649
37	378	9581
38	385	9508
39	393	9437
40	400	9372
41	408	9312
42	415	9255
43	423	9196
44	430	9139
45	437	9076
46	447	9081
47	461	9152
48	468	9099
49	477	9066
50	484	9022
51	493	8990
52	500	8941
53	507	8898
54	515	8850
55	522	8810
56	530	8770
57	537	8728
58	544	8691
59	563	8828
60	571	8789
61	578	8747
62	585	8705
63	593	8672
64	600	8636
65	607	8598
66	614	8562
67	622	8528
68	629	8495
69	636	8458
70	644	8428
71	652	8411
72	660	8381
73	667	8351
74	675	8325
75	682	8292
76	689	8263
77	696	8237
78	703	8204
79	711	8179
80	718	8154
81	726	8129
82	733	8104
83	741	8083
84	748	8060
85	756	8039
86	763	8011
87	770	7988
88	778	7965
89	785	7945
90	793	7925
91	800	7901
92	807	7878
93	815	7855
94	822	7837
95	829	7815
96	838	7801
97	847	7796
98	855	7781
99	863	7773
100	872	7767
101	883	7779
102	891	7766
103	899	7749
104	906	7728
105	914	7711
106	921	7691
107	928	7671
108	937	7661
109	949	7684
110	957	7672
111	965	7654
112	973	7640
113	982	7634
114	991	7632
115	999	7619
116	1007	7605
117	1016	7594
118	1024	7582
119	1031	7563
120	1038	7546
121	1046	7528
122	1053	7510
123	1060	7494
124	1068	7479
125	1075	7458
126	1082	7438
127	1089	7423
128	1098	7417
129	1106	7402
130	1114	7390
131	1121	7374
132	1128	7356
133	1135	7339
134	1148	7358
135	1155	7341
136	1163	7327
137	1171	7314
138	1177	7296
139	1185	7279
140	1193	7268
141	1200	7251
142	1207	7234
143	1214	7220
144	1222	7206
145	1229	7192
146	1267	7354
147	1277	7352
148	1287	7352
149	1296	7348
150	1305	7337
151	1314	7332
152	1323	7325
153	1332	7318
154	1342	7316
155	1351	7313
156	1361	7309
157	1370	7304
158	1380	7300
159	1388	7291
160	1397	7283
161	1406	7275
162	1415	7270
163	1424	7262
164	1436	7269
165	1451	7291
166	1461	7291
167	1472	7290
168	1483	7295
169	1493	7291
170	1503	7290
171	1512	7278
172	1520	7267
173	1530	7265
174	1537	7248
175	1547	7246
176	1561	7259
177	1581	7301
178	1593	7306
179	1601	7297
180	1611	7293
181	1620	7282
182	1628	7268
183	1635	7251
184	1642	7235
185	1650	7223
186	1657	7206
187	1665	7192
188	1672	7175
189	1679	7161
190	1686	7144
191	1694	7129
192	1701	7112
193	1708	7099
194	1716	7084
195	1723	7068
196	1730	7054
197	1738	7040
198	1745	7026
199	1753	7012
200	1760	6997
201	1767	6983
202	1775	6971
203	1782	6955
204	1790	6942
205	1797	6926
206	1804	6913
207	1812	6901
208	1819	6885
209	1826	6872
210	1834	6858
211	1841	6843
212	1848	6828
213	1855	6816
214	1862	6801
215	1870	6787
216	1877	6774
217	1886	6767
218	1894	6754
219	1901	6742
220	1909	6729
221	1916	6716
222	1925	6708
223	1937	6713
224	1946	6703
225	1953	6690
226	1960	6677
227	1968	6664
228	1976	6654
229	1984	6643
230	1991	6629
231	1999	6618
232	2006	6605
233	2013	6592
234	2022	6583
235	2029	6570
236	2039	6564
237	2046	6551
238	2054	6540
239	2061	6528
240	2069	6518
241	2077	6508
242	2086	6501
243	2094	6489
244	2102	6478
245	2109	6464
246	2116	6451
247	2123	6439
248	2131	6428
249	2139	6417
250	2146	6406
251	2154	6394
252	2161	6381
253	2168	6369
254	2176	6357
255	2183	6346
256	2191	6335
257	2198	6323
258	2206	6312
259	2213	6300
260	2221	6291
261	2229	6278
262	2236	6265
263	2242	6253
264	2250	6242
265	2260	6238
266	2286	6277
267	2298	6276
268	2307	6271
269	2315	6261
270	2323	6249
271	2330	6237
272	2338	6226
273	2345	6214
274	2352	6202
275	2360	6191
276	2367	6180
277	2375	6168
278	2382	6157
279	2390	6146
280	2397	6134
281	2404	6123
282	2411	6110
283	2424	6111
284	2441	6124
285	2455	6129
286	2464	6123
287	2472	6111
288	2482	6106
289	2493	6105
290	2502	6097
291	2511	6089
292	2522	6085
293	2534	6085
294	2547	6088
295	2558	6084
296	2568	6080
297	2576	6068
298	2587	6065
299	2595	6056
300	2603	6045
301	2612	6039
302	2624	6037
303	2636	6036
304	2648	6034
305	2659	6032
306	2671	6029
307	2678	6018
308	2688	6012
309	2700	6009
310	2712	6008
311	2722	6003
312	2734	6002
313	2745	5998
314	2757	5995
315	2765	5986
316	2773	5974
317	2783	5969
318	2793	5964
319	2804	5960
320	2816	5956
321	2829	5956
322	2841	5956
323	2852	5950
324	2863	5947
325	2875	5944
326	2887	5942
327	2901	5944
328	2913	5941
329	2932	5953
330	2944	5950
331	2956	5947
332	2967	5943
333	2978	5939
334	2990	5935
335	3002	5933
336	3014	5930
337	3026	5927
338	3037	5922
339	3049	5919
340	3059	5912
341	3071	5908
