iter	RMSE
0	16336.13547
1	15960.0204
2	15600.93543
3	15251.77186
4	14914.27712
5	14587.87418
6	14275.32208
7	13974.03642
8	13682.05026
9	13400.46284
10	13130.3909
11	12871.54988
12	12622.60771
13	12384.48953
14	12153.09942
15	11929.69432
16	11718.197
17	11513.42699
18	11317.32332
19	11127.67647
20	10946.80639
21	10773.40284
22	10606.29675
23	10446.34791
24	10292.88458
25	10145.67719
26	10004.81759
27	9871.6485
28	9742.225576
29	9618.811189
30	9500.879388
31	9385.977984
32	9278.1765
33	9174.545265
34	9074.928156
35	8980.151317
36	8890.555938
37	8803.4089
38	8720.991362
39	8641.077669
40	8565.486987
41	8493.165159
42	8424.257502
43	8359.439626
44	8297.021106
45	8236.678306
46	8178.065059
47	8122.795726
48	8070.208383
49	8019.997495
50	7972.3488
51	7927.089215
52	7883.744225
53	7843.189159
54	7802.870212
55	7765.322581
56	7728.989541
57	7692.882077
58	7659.471578
59	7627.697208
60	7597.011648
61	7568.086296
62	7540.589797
63	7512.942696
64	7486.962043
65	7461.150794
66	7438.145498
67	7415.272448
68	7392.117132
69	7369.901842
70	7349.650849
71	7329.193983
72	7311.114446
73	7293.405241
74	7275.558045
75	7258.172006
76	7241.561
77	7225.361883
78	7210.253146
79	7194.638043
80	7179.199584
81	7165.009804
82	7151.731605
83	7138.826167
84	7126.286108
85	7114.457462
86	7099.856055
87	7089.055938
88	7075.531396
89	7064.678077
90	7054.72729
91	7044.352178
92	7034.606132
93	7025.394948
94	7014.779632
95	7006.258425
96	6996.167155
97	6985.284993
98	6976.527798
99	6968.773724
100	6959.982797
101	6950.100458
102	6942.641731
103	6935.933843
104	6926.94761
105	6919.491023
106	6912.527681
107	6906.453711
108	6899.100796
109	6891.101816
110	6885.208511
111	6878.736216
112	6873.151816
113	6867.72736
114	6861.693562
115	6855.830966
116	6850.267335
117	6844.501038
118	6839.555306
119	6834.777317
120	6829.312615
121	6823.152994
122	6818.734135
123	6806.815986
124	6800.272235
125	6796.038828
126	6791.774978
127	6787.629265
128	6783.657635
129	6779.068975
130	6775.2432
131	6765.387287
132	6761.354789
133	6757.676331
134	6753.095955
135	6747.4107
136	6743.371197
137	6739.739218
138	6735.449495
139	6730.844711
140	6721.470541
141	6718.1173
142	6714.272728
143	6705.397128
144	6699.794959
145	6694.373534
146	6689.523412
147	6686.202936
148	6680.940846
149	6672.424999
150	6669.144118
151	6661.093516
152	6656.236977
153	6652.752571
154	6649.383532
155	6644.39607
156	6641.438629
157	6633.750358
158	6628.675212
159	6621.411692
160	6616.658143
161	6613.898735
162	6610.691204
163	6607.823061
164	6600.455028
165	6597.057079
166	6590.125208
167	6583.25368
168	6578.461524
169	6575.393662
170	6568.871962
171	6560.499869
172	6557.603045
173	6554.74578
174	6551.949382
175	6548.855394
176	6546.010429
177	6542.249249
178	6538.042106
179	6533.706467
180	6529.623953
181	6525.859422
182	6519.455773
183	6516.678466
184	6513.689021
185	6511.25496
186	6506.858961
187	6500.805865
188	6498.226432
189	6494.049471
190	6490.136326
191	6487.536436
192	6483.618112
193	6481.159205
194	6473.554923
195	6469.921128
196	6467.216457
197	6463.161395
198	6452.039325
199	6448.330625
200	6446.064253
201	6442.843793
202	6436.791215
203	6434.242009
204	6431.638829
205	6428.084185
206	6422.856878
207	6412.535612
208	6409.363998
209	6406.074868
210	6402.339285
211	6400.183928
212	6396.737544
213	6390.891832
214	6388.491127
215	6386.082872
216	6383.963225
217	6381.725675
218	6378.232306
219	6375.064343
220	6373.239792
221	6367.75551
222	6365.726176
223	6359.19106
224	6356.078133
225	6354.218355
226	6352.188911
227	6346.19655
228	6344.203251
229	6338.475793
230	6336.609612
231	6334.646893
232	6331.771761
233	6329.709207
234	6324.355809
235	6318.54448
236	6313.238223
237	6307.791359
238	6302.218602
239	6297.234836
240	6292.541947
241	6289.288196
242	6287.474108
243	6284.423036
244	6282.296346
245	6277.806576
246	6274.946034
247	6269.908306
248	6261.034683
249	6256.328024
250	6252.035536
251	6249.564071
252	6246.714927
253	6244.104242
254	6242.225524
255	6237.779089
256	6233.592518
257	6232.069395
258	6224.372541
259	6222.62334
260	6218.833044
261	6215.89421
262	6213.857867
263	6206.708663
264	6204.806942
265	6202.136027
266	6197.871055
267	6196.05082
268	6192.033877
269	6190.239459
270	6185.683606
271	6182.970386
272	6179.17858
273	6174.911351
274	6170.893529
275	6166.125937
276	6162.576512
277	6160.133244
278	6158.331082
279	6154.931572
280	6148.253065
281	6145.309403
282	6143.695151
283	6141.11347
284	6139.464805
285	6136.686596
286	6134.24763
287	6132.670984
288	6128.452895
289	6127.000582
290	6124.712832
291	6121.573259
292	6115.271108
293	6113.628446
294	6109.558672
295	6108.011553
296	6104.807192
297	6102.223138
298	6100.501895
299	6099.022211
300	6096.549991
301	6094.457018
302	6091.183695
303	6085.373837
304	6084.089769
305	6080.442372
306	6077.335774
307	6071.83248
308	6070.507221
309	6065.344538
310	6063.913615
311	6061.737005
312	6058.959217
313	6056.250827
314	6051.787448
315	6050.320192
316	6048.072395
317	6045.329562
318	6041.91483
319	6040.741957
320	6037.947191
321	6035.316173
322	6032.501575
323	6027.887158
324	6025.825144
325	6022.629004
326	6019.820474
327	6018.662008
328	6016.734695
329	6013.303945
330	6011.977043
331	6009.30497
332	6006.322743
